Species (subspecies),Sample Code,Museum,Museum Number,Sex,Locality,Latitude,Longitude
Melanerpes formicivorus,formicivorus01,UWBM,78031,female,United States: Arizona,33.19,-109.39
Melanerpes pucherani,pucherani01,UWBM,55999,female,Nicaragua: La Luz,13.7,-84.85
Melanerpes pucherani,pucherani02,UWBM,101019,male,Panama: Bocas del Toro,TBD,TBD
Melanerpes chrysogenys,chrysogenys01,UWBM,81128,female,Mexico: Sinaloa,23.03,-105.75
Melanerpes chrysogenys,chrysogenys02,UWBM,105194,female,Mexico: Oaxaca,15.92,-97.08
Melanerpes pygmaeus,pygmaeus01,KU,89388,male,Mexico: Yucatán,21.47,-88.57
Melanerpes pygmaeus,pygmaeus02,KU,129826,female,Mexico: Yucatán,21.47,-88.57
Melanerpes pygmaeus,pygmaeus03,UWBM,99989,TBD,Mexico: Yucatán,21.52,-87.7
Melanerpes pygmaeus,pygmaeus04,UWBM,99990,TBD,Mexico: Yucatán,21.52,-87.7
Melanerpes pygmaeus,pygmaeus05,UWBM,100688,male,Mexico: Campeche,18.18,-93
Melanerpes pygmaeus,pygmaeus06,UWBM,101352,male,Mexico: Campeche,18.64,-90.68
Melanerpes uropygialis,uropygialis01,UWBM,77791,male,United States: Arizona,34.54,-113.45
Melanerpes uropygialis,uropygialis02,UWBM,81408,male,Mexico: Sinaloa,23.03,-105.75
Melanerpes uropygialis,uropygialis03,UWBM,81475,female,Mexico: Baja Califoria,23.75,-109.98
Melanerpes rubricapillus,rubricapillus01,UWBM,107335,male,Panama: Panamá,TBD,TBD
Melanerpes rubricapillus,rubricapillus02,UWBM,108127,female,Panama: Panamá,TBD,TBD
Melanerpes hoffmannii,hoffmannii01,UWBM,59542,male,Nicaragua: Granada,11.76,-85.96
Melanerpes hoffmannii,hoffmannii02,UWBM,59553,female,Nicaragua: Chinandega,12.69,-86.96
Melanerpes hoffmannii,hoffmannii03,UWBM,60911,male,Nicaragua: Managua,11.99,-86.26
Melanerpes hoffmannii,hoffmannii04,UWBM,69303,male,Nicaragua: Rivas,11.15,-85.8
Melanerpes hoffmannii,hoffmannii05,UWBM,69433,male,Nicaragua: Granada,11.76,-85.96
Melanerpes hoffmannii,hoffmannii06,UWBM,70231,male,Nicaragua: Managua,12.23,-86.31
Melanerpes hoffmannii,hoffmannii07,UWBM,70232,female,Nicaragua: Managua,12.23,-86.31
Melanerpes carolinus,carolinus01,CMNH,TBD,TBD,United States: Ohio,TBD,TBD
Melanerpes carolinus,carolinus02,CMNH,73296,female,United States: Ohio (Lorain),TBD,TBD
Melanerpes carolinus,carolinus03,CMNH,74108,female,United States: Ohio (Medina),TBD,TBD
Melanerpes carolinus,carolinus04,CMNH,74577,male,United States: Ohio (Cuyahoga),TBD,TBD
Melanerpes carolinus (perplexus),carolinus05,SNOMNH,SNMB 088,female,United States: Florida,26.22,-81.67
Melanerpes carolinus (perplexus),carolinus06,SNOMNH,SNMB 090,male,United States: Florida,TBD,TBD
Melanerpes carolinus,carolinus07,SNOMNH,MJM 10015,male,United States: Oklahoma,34.64,-98.6
Melanerpes carolinus,carolinus08,SNOMNH,MJM 10017,female,United States: Oklahoma,34.64,-98.74
Melanerpes carolinus,carolinus09,SNOMNH,MJM 10018,male,United States: Oklahoma,34.64,-98.74
Melanerpes carolinus,carolinus10,SNOMNH,MJM 10070,male,United States: Oklahoma,36.83,-96.31
Melanerpes carolinus,carolinus11,SNOMNH,MJM 10071,female,United States: Oklahoma,36.83,-96.31
Melanerpes carolinus,carolinus12,SNOMNH,MJM 10111,male,United States: Oklahoma,36.97,-96.2
Melanerpes carolinus,carolinus13,SNOMNH,MJM 10112,male,United States: Oklahoma,36.97,-96.2
Melanerpes carolinus,carolinus14,SNOMNH,MJM 10116,female,United States: Oklahoma,36.97,-96.2
Melanerpes carolinus,carolinus15,SNOMNH,MJM 10134,male,United States: Oklahoma,34.64,-98.74
Melanerpes carolinus,carolinus16,SNOMNH,MJM 10135,female,United States: Oklahoma,34.68,-98.65
Melanerpes carolinus,carolinus17,SNOMNH,MJM 10136,male,United States: Oklahoma,34.68,-98.65
Melanerpes carolinus,carolinus18,SNOMNH,MJM 10137,male,United States: Oklahoma,34.68,-98.65
