Species,GenBank Number,
Amazilia tzacatl,,
Belize (10),,
UAM 8037,EU983311,
UAM 14312,EU983312,
UAM 14322,EU983313,
UAM 14323,EU983314,
UAM 14461,EU983315,
UAM 14513,EU983316,
UAM 7963,EU983317,
UAM 9079,EU983318,
UAM 9203,EU983319,
UAM 9237,EU983320,
Panama (11),,
UAM 20618,EU983326,
UAM 20629,EU983327,
UAM 20372,EU983328,
UAM 19208,EU983329,
UAM 24462,EU983330,
UAM 22692,EU983331,
UAM 20299,EU983332,
UAM 24403,EU983333,
UAM KSW4380,EU983334,
MBM 15822,EU983336,
LSUMZ B-16538 ,EU042524 ,
,,
Attila spadiceus,,
Belize (3),,
UAM 24358,FJ175963,
UAM 24395,FJ175964,
UAM 24535,FJ175965,
Panama (3),,
MBM 15341,FJ175966,
MBM 15255,FJ175967,
STRIBC PA-ASP113,FJ175968,
,,
Cercomacra tyranina,,
Belize (10),,
UAM 18283,FJ175888,
UAM 18281,FJ175889,
UAM 18284,FJ175890,
UAM 18277,FJ175891,
UAM 18279,FJ175892,
UAM 18282,FJ175893,
UAM 24523,FJ175894,
UAM 10260,FJ175895,
UAM 9582,FJ175896,
UAM 10275,FJ175897,
Panama (10),,
UAM 20333,FJ175898,
UAM 20352,FJ175899,
UAM 20292,FJ175900,
UAM 20355,FJ175901,
MBM 15463,FJ175902,
MBM 527,FJ175903,
MBM 16159,FJ175904,
UAM 20469,FJ175905,
MBM 15833,FJ175906,
MBM 16160,FJ175907,
,,
Chlorophanes spiza,,
Belize (2),,
UAM ABJ576,FJ176119,
UAM ABJ602,FJ176120,
Panama (2),,
UAM MJM637,FJ176121,
UAM 19144,FJ176122,
,,
Claravis pretiosa,,
Belize (2),,
UAM ABJ436,FJ175690,
UAM 18183,FJ175691,
Panama (1),,
UAM 20362,FJ175692,
,,
Coereba flaveola,,
Belize (10),,
UAM 9206,FJ176049,
UAM 24391,FJ176050,
UAM 24380,FJ176051,
UAM 24393,FJ176052,
UAM 24315,FJ176053,
UAM 15296,FJ176054,
UAM 18361,FJ176055,
UAM 24382,FJ176056,
UAM 24381,FJ176057,
UAM 24392,FJ176058,
Panama (10),,
UAM 20453,FJ176059,
UAM MJM356,FJ176060,
UAM 20490,FJ176061,
UAM 22843,FJ176062,
UAM 20280,FJ176063,
UAM 20358,FJ176064,
UAM 20452,FJ176065,
UAM 22841,FJ176066,
STRIBC MJM2397,FJ176067,
STRIBC MJM4660,FJ176068,
,,
Columbina talpacoti,,
Belize (3),,
UAM 18185,EU713836,
UAM 18186,EU713837,
UAM 18187,EU713838,
Panama (8),,
UAM MJM1404,EU713839,
STRIBC PA-CTA87,EU713840,
STRIBC MJM4662,EU713841,
STRIBC MJM4461,EU713842,
STRIBC MJM6799,PENDING,
STRIBC MJM6701,PENDING,
STRIBC MJM5149,PENDING,
STRIBC MJM6486,PENDING,
,,
Cyanerpes cyaneus,,
Belize (8),,
UAM 24536,FJ176123,
UAM KSW4257,FJ176124,
UAM KSW4259,FJ176125,
UAM 18364,FJ176126,
UAM ABJ49,FJ176127,
UAM 18366,FJ176128,
UAM 18365,FJ176129,
UAM 18367,FJ176130,
Panama (9),,
UAM 22844,FJ176131,
UAM MJM1412,FJ176132,
UAM KSW4403,FJ176133,
UAM 22847,FJ176134,
UAM 22845,FJ176135,
UAM 22839,FJ176136,
UAM KSW4782,FJ176137,
UAM JMM902,FJ176138,
UAM 22846,FJ176139,
,,
Dendrocincla homochroa,,
Belize (3),,
UAM 24534,FJ175822,
UAM ABJ1215,FJ175823,
UAM ABJ1264,FJ175824,
Panama (3),,
UAM MJM655,FJ175825,
UAM MJM671,FJ175826,
UAM 20615 ,FJ175827,
,,
Dendrocolaptes sanctithomae,,
Belize (2),,
UAM ABJ627,FJ175849,
UAM ABJ1528,FJ175850,
Panama (1),,
